n,c_rate_range,scanning_type,mission_duration,assertiveness
2,0–0.5,ZIGZAG_LMAT,1343.6501440151642,39.80571428571429
2,0.51–1,ZIGZAG_LMAT,1290.9114389193555,20.151515151515152
2,1.01-2,ZIGZAG_LMAT,1270.214564815845,30.45744680851064
2,>2.01,ZIGZAG_LMAT,1256.251159226859,37.90625
4,0–0.5,ZIGZAG_LMAT,1227.2583632367323,50.72153209109731
4,0.51–1,ZIGZAG_LMAT,1275.0017552527345,29.870535714285715
4,1.01-2,ZIGZAG_LMAT,1285.817444401032,55.9719387755102
4,>2.01,ZIGZAG_LMAT,1270.588612932933,69.20588235294117
8,0–0.5,ZIGZAG_LMAT,1117.310630295267,70.75557620817844
8,0.51–1,ZIGZAG_LMAT,1229.0740514987979,57.121212121212125
8,1.01-2,ZIGZAG_LMAT,1258.2229713938766,78.97222222222223
8,>2.01,ZIGZAG_LMAT,1299.2596147588745,85.33333333333333
16,0–0.5,ZIGZAG_LMAT,1021.5634915702223,79.97139084507042
16,0.51–1,ZIGZAG_LMAT,1180.106448844915,78.70471698113208
16,1.01-2,ZIGZAG_LMAT,1183.972950585992,90.2568493150685
16,>2.01,ZIGZAG_LMAT,1167.302754277483,96.22368421052632
32,0–0.5,ZIGZAG_LMAT,735.4285493565363,91.88305214723927
32,0.51–1,ZIGZAG_LMAT,1091.3833835551654,89.875
32,1.01-2,ZIGZAG_LMAT,908.8272681273154,96.04012345679013
32,>2.01,ZIGZAG_LMAT,1052.7084379203645,97.54166666666667
64,0–0.5,ZIGZAG_LMAT,451.53662507039877,96.61917098445596
64,0.51–1,ZIGZAG_LMAT,858.6024909028889,95.84848484848484
64,1.01-2,ZIGZAG_LMAT,712.6000490726881,97.89
64,>2.01,ZIGZAG_LMAT,742.0000000000016,96.4
